MeasuredID,Name,Intervals,Tonic,Variants,Culture,Region,SocID,Reference,RefID,Primary_source?,Country,Measured_type,Instrument,Inst_type,Melodic / Harmonic,Octave_modified,Reduced_scale,Notes
M0001,Slendro 1,263;223;253;236;225,1,N/A,Gamelan,South East Asia,Gam17,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",2,N,Indonesia,Instrument,N/A,N/A,N/A,N,Y,"It is not clear which instrument these tunings came from, but the fact that the tunings are given to an accuracy of 1 cents, is in line with other instrument tunings."
M0002,Pelog 1,167;245;125;146;252;165;100,1,N/A,Gamelan,South East Asia,Gam17,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",2,N,Indonesia,Instrument,N/A,N/A,N/A,N,Y,"It is not clear which instrument these tunings came from, but the fact that the tunings are given to an accuracy of 1 cents, is in line with other instrument tunings."
M0003,Pelog Saih Pitu Gambuh,148;132;198;152;141;81;350,1,N/A,Bali,South East Asia,Bal18,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",2,N,Indonesia,Instrument,N/A,N/A,N/A,N,N,"It is not clear which instrument these tunings came from, but the fact that the tunings are given to an accuracy of 1 cents, is in line with other instrument tunings."
M0004,Pelog Saih Pitu Gambang,186;134;182;205;109;180;204,1,N/A,Bali,South East Asia,Bal18,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",2,N,Indonesia,Instrument,Gambang,Idiophone,N/A,N,N,N/A
M0005,Pentatonic Pelog Saih Gong,158;123;360;146;413,1,N/A,Bali,South East Asia,Bal18,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",2,N,Indonesia,Instrument,Gong,Idiophone,N/A,N,N,N/A
M0006,Slendro Saih Gender Wayang,293;214;255;243;195,1,N/A,Bali,South East Asia,Bal18,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",2,N,Indonesia,Instrument,Gender,Idiophone,N/A,N,N,N/A
M0007,Tetratonic,243;249;251,N/A,N/A,Bali,South East Asia,Bal18,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",2,N,Indonesia,Instrument,Angklung,Idiophone,N/A,N,N,N/A
M0008,Pelog Gong Sasak,113;350;107;238;392,1,N/A,Sasak,South East Asia,Sas19,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",2,N,Indonesia,Instrument,Gong,Idiophone,N/A,N,N,N/A
M0009,Slendro Tandak Geroh,210;184;308;212;286,1,N/A,Sasak,South East Asia,Sas19,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",2,N,Indonesia,Instrument,N/A,N/A,N/A,N,N,"It is not clear which instrument these tunings came from, but the fact that the tunings are given to an accuracy of 1 cents, is in line with other instrument tunings."
M0010,Preret,134;391;204,N/A,N/A,Sasak,South East Asia,Sas19,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",2,N,Indonesia,Instrument,N/A,N/A,N/A,N,N,"It is not clear which instrument these tunings came from, but the fact that the tunings are given to an accuracy of 1 cents, is in line with other instrument tunings."
