TheoryID,Name,Ascending Intervals,Descending Intervals,Tonic,Tuning,Culture,Country,Region,SocID,,Reference,RefID,Primary_source?,Reduced_scale,Notes
T0001,Major,2;2;1;2;2;2;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0002,Natural minor,2;1;2;2;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0003,Harmonic minor,2;1;2;2;1;3;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0004,Melodic minor,2;1;2;2;2;2;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0005,Chromatic,1;1;1;1;1;1;1;1;1;1;1;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0006,Lydian,2;2;2;1;2;2;1,N/A,1,12-tet;Just;Pythagorean,Diatonic modes,Many,Western,Dia2,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,"I’ve included these as separate to Western Classical, partly because that’s how it was reported in the book, but also partly due to the long history of these seven modes."
T0007,Ionian,2;2;1;2;2;2;1,N/A,1,12-tet;Just;Pythagorean,Diatonic modes,Many,Western,Dia2,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,"I’ve included these as separate to Western Classical, partly because that’s how it was reported in the book, but also partly due to the long history of these seven modes."
T0008,Mixolydian,2;2;1;2;2;1;2,N/A,1,12-tet;Just;Pythagorean,Diatonic modes,Many,Western,Dia2,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,"I’ve included these as separate to Western Classical, partly because that’s how it was reported in the book, but also partly due to the long history of these seven modes."
T0009,Dorian,2;1;2;2;2;1;2,N/A,1,12-tet;Just;Pythagorean,Diatonic modes,Many,Western,Dia2,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,"I’ve included these as separate to Western Classical, partly because that’s how it was reported in the book, but also partly due to the long history of these seven modes."
T0010,Aeolian,2;1;2;2;1;2;2,N/A,1,12-tet;Just;Pythagorean,Diatonic modes,Many,Western,Dia2,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,"I’ve included these as separate to Western Classical, partly because that’s how it was reported in the book, but also partly due to the long history of these seven modes."
T0011,Phrygian,1;2;2;2;1;2;2,N/A,1,12-tet;Just;Pythagorean,Diatonic modes,Many,Western,Dia2,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,"I’ve included these as separate to Western Classical, partly because that’s how it was reported in the book, but also partly due to the long history of these seven modes."
T0012,Locrian,1;2;2;1;2;2;2,N/A,1,12-tet;Just;Pythagorean,Diatonic modes,Many,Western,Dia2,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,"I’ve included these as separate to Western Classical, partly because that’s how it was reported in the book, but also partly due to the long history of these seven modes."
T0013,Acoustic,2;2;2;1;2;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0014,Hungarian Major 1,3;1;2;1;2;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0015,Hungarian Major 2,3;1;2;1;2;2;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0016,Lydian Major,2;2;2;1;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0017,Prometheus,2;2;2;3;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0018,Neapolitan Prometheus,1;3;2;3;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0019,Leading whole-tone,2;2;2;2;2;1;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0020,Lydian Diminished,2;1;3;1;2;2;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0021,Harmonic major,2;2;1;2;1;3;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0022,Major-minor,2;2;1;2;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0023,Neapolitan Major,1;3;1;2;2;2;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0024,Neapolitan Mixolydian,1;3;1;2;2;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0025,Mixolydian flat sixth,2;2;1;2;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0026,Mixolydian sharp second,3;1;1;2;2;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0027,Ukrainian Dorian,2;1;3;1;2;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0028,Neapolitan Dorian,1;2;2;2;2;1;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0029,Hungarian Minor 1,2;1;3;1;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0030,Hungarian Minor 2,2;1;3;1;1;3;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0031,Spanish Phrygian 7 tone,1;3;1;2;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0032,Spanish Phrygian 8 tone,1;2;1;1;2;1;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0033,Espla's Scale,1;2;1;1;1;2;2;2,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0034,Double Harmonic,1;3;1;2;1;3;1,N/A,1,12-tet,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
